"title","company","city","state","country","job_type","modality","student_friendly","requirements_summary","source","source_url","posted_at","collected_date","query_term","query_loc","query_site"
"Desarrollador Backend Freelancer","Rovi Music","Monterrey Centro","Nle","México","fulltime","On-site",True,"** * Educación: Ciencias de la Computación, Ingeniería de Software, Sistemas de Información o campos relacionados. * Experiencia: 3 años en desarrollo ERP, integraciones API y análisis de datos. * Experiencia en Backend, Lenguajes de programación: Python, Node.js, PHP, JavaScript/TypeScript. * Base…","indeed","https://mx.indeed.com/viewjob?jk=15308d33963d3a14","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Software Developer: Full Stack","SER-ES","Monterrey","Nle","México","fulltime","On-site",True,"Software Developer – Full Stack; We are looking for a; Full Stack Software Developer; to join a fast\","indeed","https://mx.indeed.com/viewjob?jk=07b32ff152ed9f56","2025-10-14","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Practicante Profesional Editorial — Redes Sociales","SERVICIO GENERAL AEREO","Monterrey Centro","Nle","México","parttime","On-site",True,"Practicante Profesional Editorial – Redes Sociales; Objetivo del puesto; Apoyar en la generación, edición y publicación de contenido editorial para plataformas digitales y redes sociales, asegu; Responsabilidades","indeed","https://mx.indeed.com/viewjob?jk=e3fef1b46a044278","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"PRACTICANTE LEGAL – DERECHO CORPORATIVO /REGULATORIO MTY - INGLÉS 100%","SESMA, SESMA AND MCNEESE","San Pedro Garza García","Nle","México","parttime","On-site",True,"PRACTICANTE LEGAL – DERECHO CORPORATIVO /REGULATORIO; INGLÉS 100%; Educación:; Estudiantes de la licenciatura en Derecho del 5º o 6º semestre.","indeed","https://mx.indeed.com/viewjob?jk=9fcbd13b8e43d3b1","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Ingenieria Mecatrónica, eléctrica, electrónica recién egresado, Ingeniero becario Junior","SKUADRA CONSULTORES Y ASOCIADOS","Monterrey","Nle","México","parttime","On-site",True,"** * **Inglés avanzado** (indispensable) * Manejo de **Excel intermedio** (tablas dinámicas, fórmulas, análisis de datos) * Conocimientos en **AutoCAD** (preferente) * Ganas de aprender, proactividad y buena capacidad de análisis **Principales actividades** * Analizar y simplificar reportes de vent…","indeed","https://mx.indeed.com/viewjob?jk=b7f937ca64cdb637","2025-11-04","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"supervisor de campo","SOLUCIONIKA SA DE CV","Saltillo","Coa","México","fulltime","On-site",True,"** * Escolaridad: Técnico\-Administrativo * Paquete Office intermedio * Conocimiento en instalaciones planta externa y planta interna * Telecomunicaciones **Actividades:** * Supervisar trabajo en campo, puntualidad, seguridad e higiene, garantizar estándares de calidad. * Prevenir y en su caso soli…","indeed","https://mx.indeed.com/viewjob?jk=fcd74b684ed9d26d","2025-11-06","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Intern","STERIS","Guadalupe","Nle","México","nan","On-site",True,"Practicante de Calidad de Proveedores; ¿Buscas una oportunidad para desarrollar tus prácticas profesionales?; , empresa líder en el sector de manufactura busca practicantes para el área de Calidad.; Requisitos","indeed","https://mx.indeed.com/viewjob?jk=d392906178a8c9fa","2025-10-27","2025-11-06","intern","Monterrey, Nuevo Leon, Mexico","indeed"
"PRACTICANTE CONTABILIDAD","SU TRANSPORTE SA DE CV","Ramos Arizpe Centro","Coa","México","fulltime","On-site",True,"$3,000\.00 al mes

Beneficios:; Apoyo para estudios

Escolaridad:; Licenciatura trunca o en curso (Deseable)

Lugar de trabajo: Empleo presencial","indeed","https://mx.indeed.com/viewjob?jk=8f18474a5c4fa1fc","2025-11-06","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"PRACTICANTE RECURSOS HUMANOS","SU TRANSPORTE SA DE CV","Ramos Arizpe Centro","Coa","México","fulltime","On-site",True,"$3,000\.00 al mes

Beneficios:; Apoyo para estudios

Escolaridad:; Licenciatura trunca o en curso (Deseable)

Lugar de trabajo: Empleo presencial","indeed","https://mx.indeed.com/viewjob?jk=9c322ab2e5858c7b","2025-11-06","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Employee Experience Intern (Mty, N.L.)","Schneider Electric","Monterrey","Nle","México","nan","Remote",False,"**Qualifications** We know skills and competencies show up in many different ways and can be based on your life experience","indeed","https://mx.indeed.com/viewjob?jk=730edcc5267dc5f6","2025-10-27","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
